NBlades 2
Blade 0
	npoints 180
	nsections 20
	section 0
		xss rth_ss r xps rth_ps r
		0.000000 0.000000 0.199800 0.000000 0.000000 0.199800
		0.000006 0.000072 0.199800 0.000000 -0.000002 0.199800
		0.000019 0.000189 0.199800 0.000003 -0.000058 0.199800
		0.000039 0.000333 0.199800 0.000008 -0.000107 0.199800
		0.000063 0.000471 0.199800 0.000014 -0.000156 0.199800
		0.000079 0.000560 0.199800 0.000022 -0.000214 0.199800
		0.000097 0.000637 0.199800 0.000036 -0.000288 0.199800
		0.000121 0.000728 0.199800 0.000051 -0.000361 0.199800
		0.000172 0.000895 0.199800 0.000060 -0.000403 0.199800
		0.000252 0.001137 0.199800 0.000069 -0.000441 0.199800
		0.000321 0.001327 0.199800 0.000076 -0.000471 0.199800
		0.000425 0.001588 0.199800 0.000085 -0.000500 0.199800
		0.000526 0.001822 0.199800 0.000096 -0.000532 0.199800
		0.000654 0.002099 0.199800 0.000107 -0.000563 0.199800
		0.000787 0.002366 0.199800 0.000124 -0.000604 0.199800
		0.000934 0.002643 0.199799 0.000145 -0.000653 0.199800
		0.001092 0.002923 0.199799 0.000182 -0.000729 0.199800
		0.001256 0.003194 0.199799 0.000229 -0.000824 0.199800
		0.001429 0.003466 0.199798 0.000260 -0.000882 0.199800
		0.001605 0.003726 0.199798 0.000290 -0.000936 0.199800
		0.001787 0.003979 0.199797 0.000326 -0.000996 0.199800
		0.001970 0.004221 0.199796 0.000375 -0.001071 0.199800
		0.002158 0.004454 0.199794 0.000444 -0.001174 0.199800
		0.002343 0.004674 0.199793 0.000505 -0.001259 0.199800
		0.002533 0.004886 0.199791 0.000564 -0.001339 0.199800
		0.002718 0.005081 0.199788 0.000643 -0.001439 0.199800
		0.002908 0.005272 0.199786 0.000746 -0.001562 0.199800
		0.003091 0.005445 0.199783 0.000838 -0.001668 0.199800
		0.003280 0.005615 0.199779 0.000960 -0.001800 0.199800
		0.003460 0.005768 0.199775 0.001097 -0.001944 0.199799
		0.003646 0.005917 0.199771 0.001251 -0.002098 0.199799
		0.003826 0.006053 0.199766 0.001435 -0.002273 0.199798
