x,r
-5,2.48
-4.9255,2.44448
-4.85182,2.40995
-4.77896,2.37638
-4.70688,2.34377
-4.63557,2.31208
-4.565,2.28128
-4.49517,2.25135
-4.42606,2.22226
-4.35765,2.194
-4.28992,2.16653
-4.22285,2.13983
-4.15644,2.11389
-4.09067,2.08867
-4.02552,2.06416
-3.96097,2.04034
-3.89702,2.0172
-3.83365,1.99471
-3.77083,1.97286
-3.70857,1.95163
-3.64684,1.93101
-3.58563,1.91099
-3.52493,1.89155
-3.46472,1.87268
-3.40499,1.85436
-3.34573,1.8366
-3.28692,1.81936
-3.22855,1.80266
-3.17061,1.78647
-3.11308,1.77079
-3.05595,1.7556
-2.99921,1.7409
-2.94285,1.72669
-2.88686,1.71295
-2.83121,1.69968
-2.77591,1.68687
-2.72094,1.67451
-2.66628,1.6626
-2.61193,1.65113
-2.55788,1.6401
-2.5041,1.6295
-2.4506,1.61933
-2.39736,1.60958
-2.34437,1.60025
-2.29162,1.59133
-2.2391,1.58282
-2.1868,1.57472
-2.1347,1.56702
-2.0828,1.55972
-2.03108,1.55282
-1.97954,1.54631
-1.92816,1.54019
-1.87694,1.53447
-1.82587,1.52913
-1.77493,1.52418
-1.72411,1.51961
-1.67341,1.51542
-1.62281,1.51162
-1.5723,1.5082
-1.52188,1.50516
-1.47154,1.50249
-1.42125,1.50021
-1.37103,1.4983
-1.32084,1.49678
-1.2707,1.49563
-1.22057,1.49486
-1.17047,1.49447
-1.12036,1.49446
-1.07026,1.49484
-1.02013,1.49559
-0.96999,1.49673
-0.91981,1.49826
-0.86958,1.50017
-0.8193,1.50247
-0.76896,1.50517
-0.71854,1.50826
-0.66804,1.51174
-0.61744,1.51563
-0.56673,1.51992
-0.51592,1.52461
-0.46497,1.52972
-0.41389,1.53524
-0.36267,1.54118
-0.31128,1.54754
-0.25973,1.55433
-0.20801,1.56156
-0.15609,1.56922
-0.10397,1.57733
-0.05164,1.58589
0.00088,1.5949
0.05359,1.60437
0.10655,1.61431
0.15977,1.62473
0.21325,1.63563
0.26701,1.64703
0.32106,1.65893
0.37541,1.67135
0.43008,1.68429
0.48507,1.69776
0.5404,1.71179
0.59608,1.72636
0.65213,1.74151
0.70855,1.75724
0.76536,1.77357
0.82257,1.79051
0.88019,1.80808
0.93825,1.82629
0.99674,1.84516
1.05569,1.86471
1.11511,1.88495
1.17501,1.90592
1.23541,1.92762
1.29631,1.95008
1.35774,1.97333
1.41971,1.99739
1.48222,2.02229
1.5453,2.04806
1.60897,2.07472
1.67322,2.10231
1.73808,2.13086
1.80356,2.16041
1.86967,2.19099
1.93642,2.22265
2.00383,2.25543
2.07192,2.28938
2.14068,2.32455
2.21014,2.36098
2.2803,2.39875
2.35116,2.43789
2.42275,2.47849
2.49506,2.52062
2.56809,2.56433
2.64185,2.60973
2.71634,2.65688
2.79155,2.70589
2.86747,2.75685
2.9441,2.80987
3.02141,2.86507
3.09938,2.92256
3.17799,2.98249
3.25719,3.04499
3.33694,3.11022
3.41719,3.17834
3.49786,3.24953
3.57889,3.32397
3.66016,3.40188
3.74157,3.48345
3.82299,3.56892
3.90427,3.65853
3.98523,3.75251
4.06568,3.85112
4.14541,3.95463
4.22416,4.06329
4.30167,4.17738
4.37766,4.29715
4.45183,4.42284
4.52387,4.5547
4.59347,4.69295
4.66032,4.83778
4.72414,4.98937
4.78467,5.14786
4.8417,5.3134
4.89504,5.48609
4.94458,5.66604
4.99026,5.85334
5.03209,6.04809
5.07011,6.25038
5.10444,6.46032
5.13524,6.67804
5.16269,6.90368
5.18701,7.13741
5.2084,7.37942
5.22701,7.62993
5.2429,7.88917
5.25581,8.15741
5.26474,8.43495
5.26625,8.72208
5.26625,9.01876
5.26625,9.32494
5.26625,9.64265
5.26625,9.99772
5.26625,10.30648
5.26597,10.35132
5.2657,10.39615
5.26545,10.44098
5.26523,10.48582
5.26506,10.53065
5.26498,10.57548
5.26505,10.62032
5.26534,10.66515
5.26594,10.70998
5.26697,10.7548
5.26854,10.79961
5.2708,10.84438
5.27389,10.88911
5.27797,10.93376
5.2832,10.97828
5.28978,11.02263
5.29788,11.06672
5.30767,11.11047
5.3193,11.15377
5.33289,11.19649
5.34853,11.2385
5.3663,11.27966
5.38622,11.31982
5.4083,11.35883
5.43251,11.39656
5.45877,11.43289
5.48701,11.4677
5.5171,11.50094
5.54891,11.53252
5.58231,11.56242
5.61716,11.59061
5.65333,11.6171
5.6907,11.64187
5.72914,11.66494
5.76856,11.68629
5.80886,11.70592
5.84995,11.72384
5.89175,11.74004
5.93417,11.75457
5.97711,11.76745
6.02049,11.77874
6.06424,11.78854
6.10828,11.79692
6.15255,11.80403
6.19698,11.80999
6.24154,11.81498
6.28618,11.81915
6.33087,11.82265
6.37561,11.82561
6.42037,11.82817
6.46515,11.83041
6.50993,11.83246
6.55473,11.8344
6.59952,11.83632
6.64431,11.83825
6.6891,11.84022
6.73389,11.84224
6.77868,11.84427
6.82347,11.84626
6.86826,11.84819
6.91306,11.85
6.95786,11.8517
7.00266,11.85328
7.04747,11.85478
7.09228,11.85619
7.1371,11.85753
7.18191,11.8588
7.22673,11.85999
7.27155,11.86109
7.31637,11.86211
7.3612,11.86305
7.40602,11.86391
7.45085,11.8647
7.49568,11.86541
7.54051,11.86604
7.58534,11.8666
7.63017,11.86709
7.675,11.86751
7.71983,11.86787
7.76467,11.86816
7.8095,11.86839
7.85433,11.86855
7.89917,11.86864
7.944,11.86865
7.9887,11.8686
8.03341,11.8686
8.07811,11.8686
8.12282,11.8686
8.16752,11.8686
8.21222,11.8686
8.25693,11.8686
8.30163,11.8686
8.34633,11.8686
8.39104,11.8686
8.43574,11.8686
8.48045,11.8686
8.52515,11.8686
8.56985,11.8686
8.61456,11.8686
8.65926,11.8686
8.70397,11.8686
8.74867,11.8686
8.79337,11.8686
8.83808,11.8686
8.88278,11.8686
8.92748,11.8686
8.97219,11.8686
9.01689,11.8686
9.0616,11.8686
9.1063,11.8686
9.151,11.8686
9.19571,11.8686
9.24041,11.8686
9.28511,11.8686
9.32982,11.8686
9.37452,11.8686
9.41923,11.8686
9.46393,11.8686
9.50863,11.8686
9.55334,11.8686
9.59804,11.8686
9.64275,11.8686
9.68745,11.8686
9.73215,11.8686
9.77686,11.8686
9.82156,11.8686
9.86626,11.8686
9.91097,11.8686
9.95567,11.8686
10.00038,11.8686
10.04508,11.8686
10.08978,11.8686
10.13449,11.8686
10.17919,11.8686
10.22389,11.8686
10.2686,11.8686
10.3133,11.8686
10.35801,11.8686
10.40271,11.8686
10.44741,11.8686
10.49212,11.8686
10.53682,11.8686
10.58153,11.8686
10.62623,11.8686
10.67093,11.8686
10.71564,11.8686
10.76034,11.8686
10.80504,11.8686
10.84975,11.8686
10.89445,11.8686
10.93916,11.8686
10.98386,11.8686
11.02856,11.8686
11.07327,11.8686
11.11797,11.8686
11.16267,11.8686
11.20738,11.8686
11.25208,11.8686
11.29679,11.8686
11.34149,11.8686
11.38619,11.8686
11.4309,11.8686
11.4756,11.8686
11.52031,11.8686
11.56501,11.8686
11.60971,11.8686
11.65442,11.8686
11.69912,11.8686
