        X           R*THETA          R
     4.9578934     8.1995220     8.4927721
     4.9578114     8.1996565     8.4913120
     4.9575496     8.1992102     8.4866438
     4.9570518     8.1954746     8.4778185
     4.9562464     8.1854792     8.4638033
     4.9551010     8.1673517     8.4442005
     4.9536371     8.1411629     8.4197617
     4.9518533     8.1068068     8.3908377
     4.9497509     8.0642977     8.3577957
     4.9473243     8.0141592     8.3208542
     4.9445529     7.9569073     8.2798748
     4.9414291     7.8926950     8.2350254
     4.9379349     7.8216391     8.1865158
     4.9340501     7.7438383     8.1345100
     4.9297462     7.6593380     8.0792122
     4.9249887     7.5685287     8.0206652
     4.9197016     7.4723315     7.9585109
     4.9138336     7.3710318     7.8927531
     4.9073200     7.2648406     7.8234291
     4.9000936     7.1539445     7.7506042
     4.8920689     7.0385194     7.6743631
     4.8831720     6.9187584     7.5947843
     4.8732986     6.7948737     7.5119448
     4.8623304     6.6671576     7.4258909
     4.8501425     6.5359311     7.3366623
     4.8365927     6.4015279     7.2443075
     4.8215184     6.2642722     7.1488953
     4.8047466     6.1245089     7.0505185
     4.7860851     5.9826069     6.9492793
     4.7653346     5.8389611     6.8452854
     4.7422748     5.6939859     6.7386761
     4.7166700     5.5480952     6.6295991
     4.6882763     5.4017167     6.5182467
     4.6568394     5.2552605     6.4048247
     4.6221056     5.1091366     6.2895865
     4.5838146     4.9637341     6.1728287
     4.5417356     4.8194189     6.0548916
     4.4956594     4.6765265     5.9361420
     4.4453988     4.5354133     5.8169918
     4.3908143     4.3964076     5.6978345
     4.3317661     4.2597775     5.5790038
     4.2681046     4.1257129     5.4608374
     4.1997590     3.9944191     5.3437157
     4.1267195     3.8660750     5.2280407
     4.0490456     3.7408092     5.1142507
     3.9668789     3.6186857     5.0027337
     3.8803921     3.4997146     4.8938360
     3.7898004     3.3838844     4.7878680
     3.6953852     3.2711635     4.6850829
     3.5974646     3.1615179     4.5857162
     3.4964013     3.0548849     4.4899554
     3.3926001     2.9509845     4.3979492
     3.2864687     2.8493328     4.3098111
     3.1784344     2.7498453     4.2255921
     3.0688999     2.6524262     4.1453032
     2.9582629     2.5569587     4.0689244
     2.8468955     2.4633245     3.9963965
     2.7351174     2.3714185     3.9276242
     2.6232448     2.2811530     3.8625097
     2.5115993     2.1924877     3.8009496
     2.4004726     2.1053753     3.7428372
     2.2901301     2.0197194     3.6880517
     2.1808176     1.9354423     3.6364682
     2.0727410     1.8525296     3.5879583
     1.9660832     1.7709876     3.5423865
     1.8610187     1.6908081     3.4996271
     1.7577089     1.6119887     3.4595575
     1.6563036     1.5345364     3.4220610
     1.5569410     1.4584651     3.3870218
     1.4597524     1.3837960     3.3543336
     1.3648667     1.3105525     3.3238902
     1.2724004     1.2387689     3.2955902
     1.1824719     1.1684877     3.2693384
     1.0951926     1.0997490     3.2450376
     1.0106673     1.0325990     3.2225971
     0.9289972     0.9670825     3.2019255
     0.8502782     0.9032419     3.1829321
     0.7746016     0.8411340     3.1655307
     0.7020464     0.7808342     3.1496329
     0.6327071     0.7223936     3.1351538
     0.5666639     0.6658531     3.1220145
     0.5039812     0.6112260     3.1101270
     0.4447146     0.5585003     3.0994115
     0.3888934     0.5077718     3.0897830
     0.3365308     0.4591839     3.0811603
     0.2876807     0.4127889     3.0734739
     0.2424317     0.3685864     3.0666609
     0.2008745     0.3265280     3.0606658
     0.1629997     0.2866907     3.0554190
     0.1287072     0.2492763     3.0508480
     0.0978832     0.2144817     3.0468836
     0.0708219     0.1819537     3.0435154
     0.0477882     0.1515063     3.0407329
     0.0287250     0.1234203     3.0384874
     0.0137154     0.0978933     3.0367565
     0.0030519     0.0751709     3.0355475
    -0.0020435     0.0552783     3.0349746
    -0.0008517     0.0403508     3.0351076
     0.0035727     0.0313715     3.0356061
     0.0079860     0.0270389     3.0361047
     0.0099411     0.0260018     3.0363269
     0.0121390     0.0254161     3.0365772
     0.0188448     0.0256080     3.0373449
     0.0293214     0.0285433     3.0385566
     0.0427686     0.0350433     3.0401368
     0.0587974     0.0453589     3.0420537
     0.0775757     0.0593791     3.0443454
     0.0993968     0.0769424     3.0470748
     0.1242000     0.0981233     3.0502586
     0.1517972     0.1230628     3.0539074
     0.1823664     0.1512924     3.0580759
     0.2162463     0.1821650     3.0628550
     0.2531952     0.2160560     3.0682554
     0.2933605     0.2526644     3.0743501
     0.3368453     0.2917638     3.0812106
     0.3836198     0.3333631     3.0888963
     0.4337240     0.3773510     3.0974798
     0.4872202     0.4235700     3.1070452
     0.5441238     0.4719132     3.1176739
     0.6044254     0.5222937     3.1294510
     0.6680740     0.5746524     3.1424525
     0.7349799     0.6289552     3.1567540
     0.8050677     0.6851406     3.1724358
     0.8782842     0.7431308     3.1895850
     0.9545455     0.8028902     3.2082853
     1.0337279     0.8644138     3.2286139
     1.1157196     0.9276692     3.2506495
     1.2005172     0.9925179     3.2745068
     1.2881157     1.0588237     3.3003054
     1.3782187     1.1267414     3.3280869
     1.4703676     1.1966012     3.3578291
     1.5645669     1.2682627     3.3896525
     1.6613123     1.3410566     3.4238710
     1.7606988     1.4147117     3.4606895
     1.8620652     1.4897854     3.5000429
     1.9648321     1.5667890     3.5418651
     2.0690055     1.6455593     3.5863247
     2.1746848     1.7258080     3.6336517
     2.2817254     1.8075038     3.6839931
     2.3898685     1.8907484     3.7374494
     2.4988501     1.9756504     3.7941270
     2.6084137     2.0623188     3.8541389
     2.7183363     2.1507406     3.9176273
     2.8284054     2.2407227     3.9847512
     2.9383063     2.3322411     4.0556169
     3.0475690     2.4258051     4.1302214
     3.1557672     2.5219190     4.2085690
     3.2626328     2.6203957     4.2907724
     3.3679063     2.7208004     4.3769350
     3.4711680     2.8231528     4.4670258
     3.5719392     2.9280574     4.5609093
     3.6697931     3.0360172     4.6584382
     3.7643664     3.1470335     4.7594528
     3.8553391     3.2610812     4.8637519
     3.9424133     3.3781998     4.9711022
     4.0253477     3.4984133     5.0812120
     4.1039472     3.6217349     5.1937604
     4.1780510     3.7481046     5.3083839
     4.2475781     3.8774040     5.4246716
     4.3124943     4.0094972     5.5422215
     4.3728561     4.1442256     5.6606569
     4.4287543     4.2814264     5.7796235
     4.4803357     4.4209280     5.8987689
     4.5277333     4.5624871     6.0177326
     4.5710850     4.7057652     6.1360998
     4.6106000     4.8504105     6.2534690
     4.6464987     4.9960866     6.3695006
     4.6790280     5.1424274     6.4838843
     4.7084360     5.2890530     6.5963383
     4.7349715     5.4355779     6.7066269
     4.7588763     5.5815916     6.8145437
     4.7803936     5.7266970     6.9199162
     4.7997398     5.8704844     7.0225921
     4.8171301     6.0125618     7.1224413
     4.8327575     6.1525421     7.2193656
     4.8468051     6.2900419     7.3132734
     4.8594341     6.4246998     7.4041119
     4.8708019     6.5561719     7.4918313
     4.8810377     6.6841307     7.5764003
