        X           R*THETA          R
     5.2658234     6.5593896     8.4904604
     5.2658114     6.5603485     8.4897022
     5.2657733     6.5629096     8.4872694
     5.2656951     6.5660682     8.4826488
     5.2655463     6.5679555     8.4748459
     5.2653117     6.5659785     8.4624996
     5.2649560     6.5587277     8.4453096
     5.2644868     6.5462618     8.4240770
     5.2638845     6.5283661     8.3989744
     5.2631302     6.5049906     8.3701248
     5.2622108     6.4762845     8.3378010
     5.2611132     6.4423933     8.3022327
     5.2598281     6.4033666     8.2635536
     5.2583299     6.3592734     8.2219219
     5.2566185     6.3101821     8.1775055
     5.2546730     6.2561464     8.1304626
     5.2525029     6.1971703     8.0809822
     5.2500958     6.1332827     8.0292616
     5.2474370     6.0651503     7.9752741
     5.2444882     5.9936724     7.9186158
     5.2412333     5.9191022     7.8593159
     5.2376556     5.8415790     7.7974281
     5.2337232     5.7612333     7.7330127
     5.2294302     5.6781974     7.6661196
     5.2247405     5.5925889     7.5968099
     5.2196302     5.5045409     7.5251389
     5.2140718     5.4141850     7.4511700
     5.2080321     5.3216715     7.3749776
     5.2014775     5.2271762     7.2966280
     5.1943679     5.1309013     7.2161951
     5.1866546     5.0330029     7.1337566
     5.1783018     4.9336987     7.0493703
     5.1692452     4.8332496     6.9631224
     5.1594357     4.7317739     6.8750787
     5.1488113     4.6293287     6.7853184
     5.1373067     4.5260534     6.6939259
     5.1248522     4.4221563     6.6009998
     5.1113806     4.3179603     6.5066533
     5.0968084     4.2138314     6.4110327
     5.0810809     4.1100025     6.3142838
     5.0641074     4.0066385     6.2165828
     5.0458112     3.9037390     6.1179996
     5.0260906     3.8013756     6.0185909
     5.0048351     3.7000303     5.9183865
     4.9819350     3.6001024     5.8174381
     4.9573092     3.5012443     5.7159524
     4.9308934     3.4031301     5.6141891
     4.9026270     3.3062935     5.5123372
     4.8724456     3.2114282     5.4105749
     4.8402834     3.1185734     5.3090887
     4.8061018     3.0275409     5.2080364
     4.7698569     2.9384260     5.1075764
     4.7315173     2.8514278     5.0078673
     4.6910763     2.7666676     4.9090567
     4.6485353     2.6842034     4.8112988
     4.6039252     2.6040902     4.7147803
     4.5573049     2.5263789     4.6196828
     4.5087605     2.4511077     4.5261798
     4.4583931     2.3783019     4.4344425
     4.4062991     2.3079367     4.3445830
     4.3525786     2.2399750     4.2566857
     4.2973733     2.1744106     4.1708646
     4.2408562     2.1112545     4.0872469
     4.1831970     2.0504863     4.0059295
     4.1245594     1.9920559     3.9269722
     4.0651207     1.9358943     3.8504140
     4.0050550     1.8819439     3.7763035
     3.9445524     1.8301480     3.7046702
     3.8837998     1.7804481     3.6355355
     3.8229825     1.7327870     3.5689197
     3.7622902     1.6871061     3.5048203
     3.7018962     1.6433442     3.4432402
     3.6419816     1.6014342     3.3841629
     3.5827155     1.5613148     3.3275719
     3.5242636     1.5229310     3.2734478
     3.4667854     1.4862336     3.2217686
     3.4104331     1.4511758     3.1725018
     3.3553536     1.4177134     3.1256218
     3.3016915     1.3857893     3.0810962
     3.2495813     1.3553537     3.0388906
     3.1991482     1.3263706     2.9989767
     3.1505063     1.2988188     2.9613101
     3.1037600     1.2726995     2.9258506
     3.0590138     1.2480004     2.8925631
     3.0163693     1.2246749     2.8614194
     2.9759378     1.2026374     2.8323948
     2.9378285     1.1817729     2.8054748
     2.9021454     1.1619859     2.7806416
     2.8689754     1.1432359     2.7578776
     2.8383465     1.1255877     2.7371218
     2.8103266     1.1090881     2.7183523
     2.7853417     1.0933584     2.7017918
     2.7636518     1.0779630     2.6875448
     2.7454493     1.0628352     2.6756818
     2.7310691     1.0482816     2.6663687
     2.7212069     1.0347105     2.6600106
     2.7171261     1.0230551     2.6573880
     2.7191350     1.0148677     2.6586778
     2.7232676     1.0102342     2.6613376
     2.7265518     1.0079339     2.6634526
     2.7277281     1.0072100     2.6642108
     2.7289400     1.0065023     2.6649935
     2.7327113     1.0044146     2.6674294
     2.7393394     1.0008748     2.6717186
     2.7490418     0.9960854     2.6780155
     2.7618403     0.9919475     2.6863611
     2.7776644     0.9898925     2.6967354
     2.7963977     0.9902703     2.7090995
     2.8179059     0.9931586     2.7234085
     2.8420370     0.9986902     2.7396078
     2.8687150     1.0067272     2.7577000
     2.8979576     1.0167730     2.7777517
     2.9296901     1.0282670     2.7997797
     2.9638326     1.0412614     2.8237975
     3.0003121     1.0558645     2.8498344
     3.0390582     1.0720567     2.8779216
     3.0800033     1.0897732     2.9080999
     3.1230776     1.1089351     2.9404168
     3.1681931     1.1294979     2.9749126
     3.2152522     1.1514677     3.0116248
     3.2641437     1.1748796     3.0505853
     3.3147497     1.1997944     3.0918283
     3.3669472     1.2262585     3.1353896
     3.4206100     1.2543061     3.1813023
     3.4756031     1.2839645     3.2296007
     3.5317855     1.3152659     3.2803230
     3.5890048     1.3482562     3.3334925
     3.6471040     1.3829964     3.3891344
     3.7059183     1.4195540     3.4472754
     3.7652798     1.4579922     3.5079281
     3.8250146     1.4983816     3.5711050
     3.8849456     1.5407977     3.6368124
     3.9448822     1.5853134     3.7050531
     4.0046444     1.6319901     3.7758081
     4.0640445     1.6808951     3.8490548
     4.1228862     1.7320977     3.9247701
     4.1809998     1.7856629     4.0029097
     4.2382088     1.8416663     4.0834274
     4.2943382     1.9001684     4.1662607
     4.3492212     1.9612131     4.2513361
     4.4026923     2.0248108     4.3385348
     4.4545970     2.0909579     4.4277272
     4.5048203     2.1596742     4.5188103
     4.5532722     2.2310066     4.6117005
     4.5998507     2.3049529     4.7062497
     4.6444726     2.3814702     4.8022676
     4.6870594     2.4605014     4.8995671
     4.7275748     2.5419798     4.9979491
     4.7660089     2.6258736     5.0972919
     4.8024116     2.7121708     5.1975231
     4.8367419     2.8006592     5.2983227
     4.8688745     2.8908556     5.3989916
     4.8989625     2.9827852     5.4996033
     4.9275289     3.0775080     5.6016998
     4.9546576     3.1751134     5.7054334
     4.9796653     3.2734025     5.8077931
     5.0023546     3.3710926     5.9070978
     5.0234895     3.4699931     6.0059342
     5.0435596     3.5715053     6.1062799
     5.0622921     3.6743751     6.2064896
     5.0794983     3.7773278     6.3049269
     5.0953679     3.8805180     6.4018893
     5.1100855     3.9842737     6.4979277
     5.1237674     4.0885310     6.5931401
     5.1364603     4.1930380     6.6874061
     5.1481810     4.2971897     6.7801571
     5.1589603     4.4004769     6.8709397
     5.1688781     4.5027080     6.9597154
     5.1780186     4.6038442     7.0466094
     5.1864786     4.7040215     7.1319294
     5.1943259     4.8031764     7.2157359
     5.2015700     4.9009337     7.2977118
     5.2082496     4.9970055     7.3776512
     5.2144084     5.0912638     7.4555349
     5.2200804     5.1835208     7.5313053
     5.2252975     5.2735929     7.6048808
     5.2300887     5.3613296     7.6761885
     5.2344837     5.4466124     7.7451682
     5.2384973     5.5293202     7.8117552
     5.2421632     5.6093588     7.8758831
     5.2454891     5.6866055     7.9374876
