span_index,ss_mp,ss_theta,ps_mp,ps_theta
0, 2.62115163, -0.68470814, 2.62115163, -0.68470814
0, 2.62202385, -0.70442059, 2.62537572, -0.66550392
0, 2.62795041, -0.72143486, 2.63416904, -0.64996389
0, 2.63848473, -0.73597220, 2.64712460, -0.63779115
0, 2.65318021, -0.74825387, 2.66383541, -0.62868881
0, 2.67159023, -0.75850112, 2.68389447, -0.62235997
0, 2.69326822, -0.76693520, 2.70689480, -0.61850774
0, 2.71776756, -0.77377738, 2.73242941, -0.61683521
0, 2.74464166, -0.77924891, 2.76009130, -0.61704551
0, 2.77344393, -0.78357103, 2.78947350, -0.61884172
0, 2.80372775, -0.78696500, 2.82016901, -0.62192695
0, 2.83504655, -0.78965208, 2.85177084, -0.62600431
0, 2.86695371, -0.79185352, 2.88387200, -0.63077689
0, 2.89900264, -0.79379057, 2.91606550, -0.63594781
0, 2.93074674, -0.79568450, 2.94794436, -0.64122017
0, 2.96179266, -0.79773245, 2.97915045, -0.64633069
0, 2.99207563, -0.79998289, 3.00962726, -0.65122366
0, 3.02165609, -0.80242763, 3.03943322, -0.65592242
0, 3.05059474, -0.80505836, 3.06862698, -0.66045050
0, 3.07895228, -0.80786677, 3.09726719, -0.66483141
0, 3.10678940, -0.81084454, 3.12541251, -0.66908867
0, 3.13416679, -0.81398336, 3.15312158, -0.67324580
0, 3.16114516, -0.81727494, 3.18045306, -0.67732630
0, 3.18778520, -0.82071095, 3.20746559, -0.68135370
0, 3.21414760, -0.82428308, 3.23421784, -0.68535151
0, 3.24029306, -0.82798303, 3.26076846, -0.68934324
0, 3.26628228, -0.83180248, 3.28717608, -0.69335242
0, 3.29217595, -0.83573313, 3.31349938, -0.69740256
0, 3.31803477, -0.83976667, 3.33979700, -0.70151718
0, 3.34391551, -0.84389533, 3.36612379, -0.70571842
0, 3.36983645, -0.84811684, 3.39249733, -0.71001493
0, 3.39579402, -0.85243198, 3.41891401, -0.71440772
0, 3.42178438, -0.85684161, 3.44536999, -0.71889770
0, 3.44780371, -0.86134657, 3.47186145, -0.72348578
0, 3.47384817, -0.86594769, 3.49838452, -0.72817289
0, 3.49991395, -0.87064582, 3.52493538, -0.73295993
0, 3.52599721, -0.87544179, 3.55151018, -0.73784782
0, 3.55209413, -0.88033646, 3.57810509, -0.74283747
0, 3.57820087, -0.88533066, 3.60471626, -0.74792979
0, 3.60431362, -0.89042523, 3.63133984, -0.75312571
0, 3.63042853, -0.89562102, 3.65797201, -0.75842613
0, 3.65654179, -0.90091886, 3.68460892, -0.76383197
0, 3.68264957, -0.90631959, 3.71124673, -0.76934414
0, 3.70874798, -0.91182404, 3.73788155, -0.77496353
0, 3.73483228, -0.91743249, 3.76450863, -0.78069053
0, 3.76089697, -0.92314483, 3.79112252, -0.78652512
0, 3.78693657, -0.92896093, 3.81771773, -0.79246728
0, 3.81294556, -0.93488065, 3.84428880, -0.79851697
0, 3.83891845, -0.94090387, 3.87083025, -0.80467418
0, 3.86484973, -0.94703045, 3.89733660, -0.81093886
0, 3.89073391, -0.95326025, 3.92380238, -0.81731099
0, 3.91656547, -0.95959315, 3.95022210, -0.82379055
0, 3.94233892, -0.96602901, 3.97659029, -0.83037751
0, 3.96804876, -0.97256771, 4.00290148, -0.83707183
0, 3.99368947, -0.97920910, 4.02915018, -0.84387348
0, 4.01925557, -0.98595305, 4.05533093, -0.85078245
0, 4.04474155, -0.99279944, 4.08143824, -0.85779870
0, 4.07014193, -0.99974803, 4.10746659, -0.86492227
0, 4.09545191, -1.00679513, 4.13340862, -0.87215536
0, 4.12066755, -1.01393292, 4.15925481, -0.87950278
0, 4.14578494, -1.02115332, 4.18499549, -0.88696952
0, 4.17080017, -1.02844825, 4.21062100, -0.89456052
0, 4.19570935, -1.03580964, 4.23612168, -0.90228078
0, 4.22050856, -1.04322941, 4.26148787, -0.91013524
0, 4.24519391, -1.05069949, 4.28670990, -0.91812890
0, 4.26976148, -1.05821179, 4.31177811, -0.92626670
0, 4.29420737, -1.06575825, 4.33668284, -0.93455363
0, 4.31852769, -1.07333078, 4.36141443, -0.94299465
0, 4.34271851, -1.08092131, 4.38596322, -0.95159474
0, 4.36677595, -1.08852176, 4.41031954, -0.96035885
0, 4.39069609, -1.09612406, 4.43447372, -0.96929197
0, 4.41447517, -1.10372028, 4.45841633, -0.97839907
0, 4.43812185, -1.11131624, 4.48215633, -0.98768583
0, 4.46166669, -1.11894195, 4.50573513, -0.99715919
0, 4.48514245, -1.12662988, 4.52919748, -1.00682619
0, 4.50858191, -1.13441249, 4.55258808, -1.01669389
0, 4.53201785, -1.14232226, 4.57595167, -1.02676935
0, 4.55548304, -1.15039165, 4.59933297, -1.03705963
0, 4.57901025, -1.15865314, 4.62277671, -1.04757177
