span_index,ss_x,ss_r,ss_th,ps_x,ps_r,ps_th
0, -0.05256469, 0.06781739, 0.00000000, -0.05256469, 0.06781739, 0.00000000
0, -0.05256315, 0.06741838, -0.01461059, -0.05256313, 0.06741525, 0.01433571
0, -0.05254682, 0.06626750, -0.02817845, -0.05254653, 0.06625547, 0.02708826
0, -0.05248070, 0.06445367, -0.04076225, -0.05247939, 0.06442768, 0.03833032
0, -0.05232054, 0.06208237, -0.05242066, -0.05231682, 0.06203877, 0.04813456
0, -0.05202119, 0.05927045, -0.06321235, -0.05201304, 0.05920681, 0.05657366
0, -0.05154573, 0.05613933, -0.07319599, -0.05153074, 0.05605458, 0.06372029
0, -0.05087073, 0.05280741, -0.08243026, -0.05084656, 0.05270239, 0.06964712
0, -0.04998857, 0.04938509, -0.09097383, -0.04995272, 0.04926044, 0.07442683
0, -0.04890660, 0.04596785, -0.09888537, -0.04885730, 0.04582644, 0.07813208
0, -0.04764485, 0.04263552, -0.10622356, -0.04758069, 0.04247997, 0.08083555
0, -0.04623180, 0.03944870, -0.11304705, -0.04615212, 0.03928230, 0.08260991
0, -0.04470142, 0.03645159, -0.11941454, -0.04460590, 0.03627711, 0.08352784
0, -0.04308867, 0.03367123, -0.12538468, -0.04297751, 0.03349150, 0.08366201
0, -0.04142805, 0.03112248, -0.13101615, -0.04130172, 0.03093973, 0.08308508
0, -0.03975026, 0.02880798, -0.13636762, -0.03960993, 0.02862478, 0.08186974
0, -0.03808298, 0.02672388, -0.14149777, -0.03792953, 0.02654171, 0.08008866
0, -0.03644913, 0.02486008, -0.14646526, -0.03628342, 0.02467999, 0.07781450
0, -0.03486758, 0.02320319, -0.15132877, -0.03469051, 0.02302598, 0.07511994
0, -0.03335309, 0.02173771, -0.15614697, -0.03316562, 0.02156398, 0.07207766
0, -0.03191744, 0.02044780, -0.16097846, -0.03172066, 0.02027807, 0.06876023
0, -0.03056619, 0.01931494, -0.16586692, -0.03036057, 0.01914910, 0.06522003
0, -0.02929499, 0.01831615, -0.17082275, -0.02908081, 0.01815397, 0.06146438
0, -0.02809838, 0.01743173, -0.17585184, -0.02787650, 0.01727344, 0.05749451
0, -0.02697094, 0.01664533, -0.18096008, -0.02674141, 0.01649062, 0.05331164
0, -0.02590757, 0.01594342, -0.18615335, -0.02567051, 0.01579205, 0.04891699
0, -0.02490322, 0.01531452, -0.19143756, -0.02465886, 0.01516639, 0.04431179
0, -0.02395322, 0.01474903, -0.19681859, -0.02370149, 0.01460383, 0.03949726
0, -0.02305325, 0.01423878, -0.20230232, -0.02279424, 0.01409641, 0.03447462
0, -0.02219922, 0.01377686, -0.20789466, -0.02193281, 0.01363712, 0.02924510
0, -0.02138768, 0.01335752, -0.21360150, -0.02111369, 0.01322018, 0.02380993
0, -0.02061494, 0.01297556, -0.21942871, -0.02033331, 0.01284050, 0.01817032
