span_index,ss_x,ss_y,ss_z,ps_x,ps_y,ps_z
0, -0.05256469, 0.00000000, 0.06781739, -0.05256469, 0.00000000, 0.06781739
0, -0.05256315, -0.00098499, 0.06741118, -0.05256313, 0.00096641, 0.06740833
0, -0.05254682, -0.00186707, 0.06624119, -0.05254653, 0.00179453, 0.06623116
0, -0.05248070, -0.00262655, 0.06440013, -0.05247939, 0.00246893, 0.06438035
0, -0.05232054, -0.00325291, 0.06199709, -0.05231682, 0.00298506, 0.06196691
0, -0.05202119, -0.00374413, 0.05915208, -0.05201304, 0.00334776, 0.05911208
0, -0.05154573, -0.00410551, 0.05598901, -0.05153074, 0.00356940, 0.05594082
0, -0.05087073, -0.00434800, 0.05262810, -0.05084656, 0.00366760, 0.05257462
0, -0.04998857, -0.00448656, 0.04918087, -0.04995272, 0.00366291, 0.04912407
0, -0.04890660, -0.00453814, 0.04574329, -0.04885730, 0.00357687, 0.04568663
0, -0.04764485, -0.00452038, 0.04239521, -0.04758069, 0.00343015, 0.04234125
0, -0.04623180, -0.00445007, 0.03919689, -0.04615212, 0.00324142, 0.03914833
0, -0.04470142, -0.00434251, 0.03619201, -0.04460590, 0.00302663, 0.03615063
0, -0.04308867, -0.00421080, 0.03340690, -0.04297751, 0.00279870, 0.03337436
0, -0.04142805, -0.00406589, 0.03085575, -0.04130172, 0.00256767, 0.03083300
0, -0.03975026, -0.00391631, 0.02854053, -0.03960993, 0.00234089, 0.02852890
0, -0.03808298, -0.00376876, 0.02645680, -0.03792953, 0.00212342, 0.02645663
0, -0.03644913, -0.00362813, 0.02459391, -0.03628342, 0.00191852, 0.02460531
0, -0.03486758, -0.00349792, 0.02293801, -0.03469051, 0.00172808, 0.02296104
0, -0.03335309, -0.00338050, 0.02147324, -0.03316562, 0.00155294, 0.02150799
0, -0.03191744, -0.00327746, 0.02018343, -0.03172066, 0.00139323, 0.02023016
0, -0.03056619, -0.00318904, 0.01904986, -0.03036057, 0.00124802, 0.01910839
0, -0.02929499, -0.00311362, 0.01804956, -0.02908081, 0.00111512, 0.01811969
0, -0.02809838, -0.00304963, 0.01716289, -0.02787650, 0.00099258, 0.01724489
0, -0.02697094, -0.00299573, 0.01637354, -0.02674141, 0.00087873, 0.01646719
0, -0.02590757, -0.00295081, 0.01566798, -0.02567051, 0.00077219, 0.01577315
0, -0.02490322, -0.00291390, 0.01503475, -0.02465886, 0.00067183, 0.01515150
0, -0.02395322, -0.00288418, 0.01446428, -0.02370149, 0.00057666, 0.01459244
0, -0.02305325, -0.00286093, 0.01394840, -0.02279424, 0.00048587, 0.01408804
0, -0.02219922, -0.00284355, 0.01348021, -0.02193281, 0.00039876, 0.01363129
0, -0.02138768, -0.00283154, 0.01305395, -0.02111369, 0.00031474, 0.01321644
0, -0.02061494, -0.00282442, 0.01266443, -0.02033331, 0.00023330, 0.01283838
0, -0.01987783, -0.00282179, 0.01230731, -0.01958877, 0.00015401, 0.01249293
0, -0.01917379, -0.00282335, 0.01197898, -0.01887664, 0.00007650, 0.01217611
0, -0.01849940, -0.00282873, 0.01167587, -0.01819413, 0.00000044, 0.01188468
0, -0.01785282, -0.00283772, 0.01139540, -0.01753925, -0.00007444, 0.01161602
0, -0.01723157, -0.00285008, 0.01113501, -0.01690917, -0.00014837, 0.01136748
0, -0.01663318, -0.00286557, 0.01089242, -0.01630191, -0.00022156, 0.01113695
0, -0.01605587, -0.00288404, 0.01066583, -0.01571529, -0.00029419, 0.01092245
0, -0.01549771, -0.00290533, 0.01045349, -0.01514754, -0.00036641, 0.01072242
0, -0.01495668, -0.00292924, 0.01025378, -0.01459693, -0.00043835, 0.01053539
0, -0.01443181, -0.00295572, 0.01006570, -0.01406153, -0.00051014, 0.01035990
0, -0.01392214, -0.00298462, 0.00988821, -0.01354157, -0.00058192, 0.01019540
0, -0.01342730, -0.00301585, 0.00972049, -0.01303582, -0.00065382, 0.01004090
0, -0.01294675, -0.00304936, 0.00956193, -0.01254374, -0.00072597, 0.00989554
0, -0.01248000, -0.00308503, 0.00941170, -0.01206537, -0.00079849, 0.00975893
0, -0.01202686, -0.00312286, 0.00926934, -0.01159952, -0.00087148, 0.00963013
0, -0.01158633, -0.00316270, 0.00913405, -0.01114627, -0.00094505, 0.00950871
0, -0.01115852, -0.00320453, 0.00900541, -0.01070471, -0.00101928, 0.00939405
0, -0.01074250, -0.00324827, 0.00888283, -0.01027494, -0.00109427, 0.00928564
0, -0.01033850, -0.00329389, 0.00876588, -0.00985632, -0.00117010, 0.00918307
0, -0.00994588, -0.00334132, 0.00865414, -0.00944826, -0.00124684, 0.00908567
0, -0.00956459, -0.00339052, 0.00854718, -0.00905110, -0.00132458, 0.00899334
0, -0.00919394, -0.00344141, 0.00844455, -0.00866383, -0.00140335, 0.00890534
0, -0.00883391, -0.00349399, 0.00834598, -0.00828646, -0.00148325, 0.00882153
0, -0.00848440, -0.00354815, 0.00825102, -0.00791888, -0.00156432, 0.00874144
0, -0.00814511, -0.00360394, 0.00815955, -0.00756072, -0.00164662, 0.00866475
0, -0.00781557, -0.00366119, 0.00807097, -0.00721154, -0.00173020, 0.00859118
0, -0.00749586, -0.00371995, 0.00798524, -0.00687140, -0.00181507, 0.00852027
0, -0.00718553, -0.00378013, 0.00790196, -0.00653980, -0.00190132, 0.00845197
0, -0.00688478, -0.00384166, 0.00782087, -0.00621682, -0.00198894, 0.00838570
0, -0.00659313, -0.00390463, 0.00774186, -0.00590230, -0.00207817, 0.00832137
0, -0.00631029, -0.00396894, 0.00766442, -0.00559594, -0.00216928, 0.00825864
0, -0.00603607, -0.00403464, 0.00758834, -0.00529774, -0.00226249, 0.00819695
0, -0.00576951, -0.00410179, 0.00751346, -0.00500714, -0.00235814, 0.00813621
0, -0.00551122, -0.00417033, 0.00743940, -0.00472445, -0.00245646, 0.00807596
